id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,direccion_ip_origen,geolocalizacion,IS_FRAUD
729bb846-a03,persona,36,ES,Norte,1367,676.15,398.63,2.92,0,61cb8062-fe8,activa,3373.71,2579.59,28.73,8003.15,0,2,2c82466d-7e5,caducada,2021-09-19,1714,500,0,sdv-id-HOjhru,2026-02-03 19:49:35,0,0,228535,2,4.98,3DS,1,ab1978d3-36fc-47,86.78.183.240,"40.4168,-3.7038",0
cd867929-7d4,persona,73,ES,Algarve,3564,338.63,42.96,2.26,0,75b9e107-b4d,activa,2537.32,1271.9,1336.99,62.73,2,2,28a400f3-ee3,activa,2023-08-10,1051,3000,2,sdv-id-rshfBk,2026-01-20 15:37:47,1,0,2045558,0,95.81,PIN,3,36a2b1ec-fa18-48,95.185.123.233,"45.7640,4.8357",0
44894dd2-b13,premium,54,ES,Oeste,2860,22.87,1040.23,2.13,1,5ab9145e-2db,activa,8073.17,6840.79,758.99,5367.2,5,6,61c16674-41f,activa,2022-08-02,1398,2000,0,sdv-id-JZUtVp,2025-12-19 09:57:19,0,0,0,3,347.77,3DS,2,b6332ac2-d38e-48,86.159.31.2,"48.8566,2.3522",0
775d1171-658,persona,63,ES,Sur,2928,113.42,166.37,5.5,0,4d7d2b78-e33,activa,4304.03,3844.55,27.52,989.22,6,1,6888e355-984,activa,2024-04-19,757,500,0,sdv-id-pIEtcd,2025-12-10 19:14:25,0,0,860748,1,26.57,PIN,2,445b8f15-bc29-45,95.148.119.149,"40.4168,-3.7038",0
d87cc73a-edf,persona,41,FR,Norte,3101,583.78,0.66,2.38,0,98fb279b-ba0,activa,3363.8,2990.57,14723.69,11333.89,4,2,dcdeaee4-49e,activa,2021-07-29,1764,500,0,sdv-id-jxbvin,2026-03-21 10:40:30,0,0,7494158,3,335.91,PIN,3,5f65ca0f-8f8c-49,87.196.214.175,"37.3891,-5.9845",0
1882010b-0fe,persona,65,IT,Oeste,1609,1099.51,307.23,1.51,0,2be385a7-ed8,bloqueada,3621.53,4261.53,25505.16,4998.17,1,3,b2a5f2b8-505,activa,2026-01-04,141,5000,0,sdv-id-vWJpDk,2025-11-28 22:10:26,0,1,1216,1,331.26,firma,2,efffeb8d-310b-4e,87.26.109.151,"52.5200,13.4050",0
4e1ecc1b-074,empresa,75,PT,Centro,3013,2147.68,1581.6,6.93,0,36d3f994-a80,activa,114.24,144.01,7472.11,37609.17,0,2,5d865a24-17b,activa,2024-08-21,632,3000,0,sdv-id-YzatyK,2026-03-07 20:40:07,0,0,14007,0,379.03,PIN,2,38df1b7b-ec82-47,86.78.183.240,"39.4699,-0.3763",0
97c46d7a-ac4,persona,66,DE,Sur,1807,277.98,315.66,2.64,0,cd941d98-0da,activa,10.02,9.59,8426.15,4572.48,11,4,722fd36c-7cf,activa,2021-11-25,1647,500,0,sdv-id-mdVhje,2026-05-06 15:39:38,0,0,460386,0,878.19,huella,2,a52cf0cb-6ec5-40,95.30.247.130,"48.8566,2.3522",0
b101adb3-02c,empresa,63,DE,Berlín,2567,689.41,645.91,7.62,0,608a307f-8eb,activa,18.98,31.21,190.87,7166.9,3,3,1fb1979b-57c,activa,2022-09-30,1337,1000,1,sdv-id-wtRxUN,2026-04-16 07:19:52,1,0,115716,0,1056.84,PIN,2,aa710c6b-2fed-42,90.113.156.252,"45.4642,9.1900",0
25dc7ecf-5fd,empresa,21,DE,Centro,906,583.73,218.52,0.61,1,2093e7d4-1c2,activa,2840.93,3237.97,28376.76,2410.47,7,2,b8bbe489-6a6,activa,2022-03-06,1545,3000,1,sdv-id-iRNJqf,2025-12-04 13:37:19,1,1,2970674,3,68.97,contactless,3,4c251dd8-0cb4-49,90.131.176.200,"38.7223,-9.1393",0
a8193520-09e,autónomo,74,IT,Este,1613,28.1,371.06,5.11,1,2141ae2c-0af,activa,1970.02,1968.8,662.41,330.39,1,2,c2e83efa-e0f,bloqueada,2022-12-29,1254,1000,0,sdv-id-myuOmb,2026-05-03 04:56:23,0,0,581158,0,1454.22,firma,3,06f256b0-5da9-48,86.208.236.87,"48.1351,11.5820",0
17226449-f21,autónomo,37,FR,Norte,514,98.53,637.96,5.58,2,b3a8b288-58c,activa,5659.36,6010.3,18211.84,44171.25,3,2,1986883b-a7d,activa,2024-12-20,520,1000,1,sdv-id-IHKqOd,2026-05-20 19:18:26,0,0,2559218,0,903.91,3DS,3,ca0b1607-c2de-43,86.113.181.164,"41.3874,2.1686",0
e5046835-b72,persona,51,FR,Berlín,642,33.86,619.82,4.77,0,80c0725c-8ef,activa,1431.86,1710.94,25.65,8263.17,6,3,2b02093e-5ab,activa,2024-12-11,542,3000,0,sdv-id-lkRUtq,2026-01-15 13:19:31,1,0,251032,0,11.41,contactless,2,43751d98-f953-41,86.88.164.175,"37.3891,-5.9845",0
a9dd8ce6-547,persona,27,ES,Baviera,1724,153.02,370.33,1.66,0,2062ade5-933,activa,3127.86,4318.54,5709.27,19188.77,11,3,e895c3b5-388,extraviada,2024-09-14,594,3000,0,sdv-id-sZNaeZ,2026-02-24 21:43:48,0,0,1419000,7,20.0,PIN,2,77a225ac-9b68-41,90.115.26.154,"53.5511,9.9937",0
1af282a2-b18,persona,25,FR,Algarve,2807,225.39,969.73,7.17,0,0b2c7d8d-90f,activa,11616.13,11802.99,100.65,16250.98,1,3,42c122ca-b03,activa,2025-12-17,140,1000,1,sdv-id-AzlgTo,2026-01-27 22:39:04,0,0,356090,1,1136.5,3DS,2,2944d500-d3da-4a,86.55.246.50,"40.4168,-3.7038",0
10474de5-d3a,persona,38,ES,Toscana,2768,1117.95,431.74,0.54,0,aef08d9f-6ab,suspendida,3953.09,3479.07,3609.05,21813.3,3,2,e762ed13-e1b,activa,2024-05-22,737,2000,1,sdv-id-OzGSIt,2025-12-24 12:05:15,1,0,390,0,13.32,firma,2,b3615744-6575-49,86.108.230.19,"41.3874,2.1686",0
8e669e82-7fe,persona,71,DE,Oeste,759,1216.67,620.36,1.01,0,a5fd26e0-eeb,activa,175.7,187.09,11521.03,1103.84,5,2,981c5117-7e2,activa,2026-01-30,112,1000,1,sdv-id-KUBGAb,2026-01-16 02:35:37,0,0,34725,1,49.96,PIN,3,ae2c2406-8683-4c,86.43.121.28,"41.9028,12.4964",0
e960a76a-4a7,premium,45,DE,Lazio,21,411.68,1235.78,3.06,1,a14ca470-1dc,activa,3534.56,3460.68,8221.37,7432.69,2,0,d4946c38-971,activa,2024-12-29,539,2000,0,sdv-id-EAUbeb,2025-12-24 16:51:39,0,0,23672,2,175.57,firma,1,61495c0e-537d-42,86.147.9.228,"45.7640,4.8357",0
ec93ee5b-ceb,persona,30,ES,Toscana,2194,429.17,258.08,0.65,1,e9b17096-03c,activa,23818.51,25273.64,38729.95,1297.75,2,1,25bf8e9e-c58,activa,2024-03-13,785,2000,0,sdv-id-OWgXNn,2026-01-28 11:37:18,0,0,267784,4,354.75,3DS,1,8cfcd934-703b-47,95.102.89.125,"41.3874,2.1686",0
37632780-a57,persona,23,FR,Baviera,1147,784.18,326.32,6.07,0,0ff15685-e98,activa,8508.58,11098.44,6335.87,45097.09,11,4,87e5e90c-821,activa,2026-02-26,90,500,0,sdv-id-xkLteH,2026-01-22 16:25:01,0,1,657666,0,703.59,PIN,1,bc4ae04a-13a6-46,90.166.29.157,"40.8518,14.2681",0
8f957f15-4f3,persona,31,DE,Oeste,1199,90.88,5.23,1.14,0,c363c6a4-611,activa,6095.77,4904.41,16801.68,22820.96,0,1,b519d28f-031,bloqueada,2025-11-21,171,500,0,sdv-id-xldDqO,2026-01-19 23:42:23,0,0,2,0,11.86,huella,3,b97f235c-d03f-45,86.127.196.49,"39.4699,-0.3763",0
4c5c47c8-61e,empresa,54,ES,Provence,1121,459.07,69.99,14.01,0,e4eeca3e-bff,activa,4731.93,5162.82,2072.48,24.23,4,2,0ef49045-05b,activa,2023-12-27,905,1000,0,sdv-id-pYmVds,2026-02-08 09:08:21,0,0,3330,1,181.59,3DS,2,25023c7d-4d90-44,86.109.74.75,"40.4168,-3.7038",0
03fbdd17-202,empresa,60,ES,Bretaña,933,898.2,482.61,0.98,1,bf9b923c-1e9,activa,4000.62,4171.26,1033.53,1629.89,5,3,82d72bc4-ba7,activa,2023-11-15,937,2000,0,sdv-id-CoEdoB,2025-12-30 07:24:55,1,0,6513,3,93.84,3DS,2,58b58146-faa3-4d,87.64.149.182,"40.4168,-3.7038",0
b0bdc83f-e01,premium,41,FR,Hesse,2582,698.38,1277.45,1.66,0,60ffefeb-b7f,activa,1585.41,2603.94,4576.77,7514.67,0,4,883e11ae-80b,activa,2023-01-11,1278,1000,0,sdv-id-aIqmvB,2026-01-05 00:26:57,1,0,0,0,4534.93,3DS,2,85314530-9b16-42,87.91.136.252,"40.4168,-3.7038",0
0ab702ee-b84,persona,46,FR,Normandía,2778,276.97,91.06,0.73,0,ae5bb61f-013,activa,5914.3,5813.54,37.39,16753.83,2,1,8e6c94ac-89d,activa,2021-12-03,1643,2000,0,sdv-id-WIkMzY,2026-03-06 15:24:17,0,1,10744,0,371.0,3DS,1,0d324903-910a-41,86.205.100.70,"39.4699,-0.3763",0
3df71bb0-f3f,persona,48,ES,Berlín,1143,154.79,167.76,3.35,0,a9d9118e-384,activa,7149.13,8970.47,69.8,33431.12,5,2,16b9774f-4b3,activa,2023-09-20,959,3000,0,sdv-id-Knhbou,2026-01-04 10:14:43,1,0,2635153,0,15.62,3DS,3,3ecf45db-6706-4f,86.103.79.71,"39.4699,-0.3763",0
6f2a0880-d92,persona,38,DE,Oeste,1365,609.09,162.17,2.78,0,0f13de0f-c5e,activa,165.76,326.94,184.09,5581.52,2,3,3add84bb-068,activa,2023-07-09,1054,1000,0,sdv-id-UroDjJ,2026-03-11 11:30:02,0,0,101259,1,33.0,3DS,1,9330c1c2-7c2a-4c,87.149.89.223,"40.4168,-3.7038",0
93029a07-040,autónomo,68,IT,Hamburgo,1075,1303.24,1310.47,4.81,1,97f73a43-809,activa,2392.84,1656.26,296.51,7173.7,3,0,be4aa7d9-408,activa,2023-07-03,1080,3000,1,sdv-id-LanWVA,2026-05-16 07:17:02,0,0,2497545,1,110.52,huella,2,9c7d2164-7716-4b,87.49.89.222,"40.4168,-3.7038",0
ede4f15a-98d,persona,83,ES,Norte,2961,311.79,2697.64,4.01,0,1296bd64-0c3,activa,766.29,960.58,360.98,13212.6,0,2,11530e14-c7c,robada,2025-09-19,233,5000,0,sdv-id-HBSEdD,2026-05-04 15:03:27,0,0,8050,3,2842.8,contactless,1,84a1b381-394f-44,90.70.43.90,"37.3891,-5.9845",0
30d7a434-05e,persona,22,FR,Oeste,1668,1255.64,66.49,3.21,0,ee505265-be4,activa,2527.75,1627.9,55899.85,39274.07,9,1,01ec3893-45a,activa,2025-02-17,432,500,0,sdv-id-RrOtvs,2026-04-25 10:59:20,0,0,1244442,3,344.52,3DS,2,a8abb7da-294a-41,87.251.9.207,"39.4699,-0.3763",0
72f83b2f-af9,persona,33,PT,Bretaña,2645,46.14,2548.57,3.43,0,e620cebf-324,activa,2279.3,3291.8,11380.68,1179.12,1,6,8147ff87-343,caducada,2024-11-19,554,2000,1,sdv-id-zUvceT,2026-03-26 10:28:49,1,0,931103,6,272.29,firma,2,ab2869ee-44d2-4f,86.151.238.250,"43.2965,5.3698",0
06f9a1d1-0e4,autónomo,24,ES,Hamburgo,826,1492.1,39.03,4.28,0,df730337-ed9,activa,680.5,1116.58,7973.56,163.87,8,0,4ab159ed-0f9,activa,2023-11-14,959,1000,1,sdv-id-AJlbNy,2026-04-23 19:20:36,0,0,0,0,1406.72,PIN,2,6cb18560-afef-45,90.247.74.220,"40.4168,-3.7038",0
d5a7956c-e1e,persona,53,FR,Norte,1731,1753.29,656.37,0.71,0,53b02352-a5e,activa,8179.37,10243.68,2562.15,37064.22,3,2,cc7c3c6b-8ae,activa,2025-01-04,528,2000,0,sdv-id-ukAIVd,2026-05-07 12:10:17,0,0,1083656,0,723.79,PIN,3,2c502de5-75d4-49,90.95.226.210,"40.4168,-3.7038",0
b7d2957a-dad,persona,77,FR,Île-de-France,1439,1095.86,692.2,10.44,1,54103263-086,activa,9536.6,9374.15,826.98,34852.22,3,2,e85cce3d-65e,activa,2022-06-05,1480,2000,0,sdv-id-pesrQw,2026-03-01 15:15:07,0,0,1413403,3,2201.69,huella,1,edc09c00-ed8c-48,90.107.129.43,"40.4168,-3.7038",0
388c534c-953,persona,83,ES,Norte,860,4675.13,964.11,4.98,1,4a0d0a35-5d5,activa,54.63,68.32,8852.16,9939.99,0,0,d968ec10-001,activa,2024-02-13,841,500,0,sdv-id-LOkicr,2026-05-10 05:11:59,1,0,10755795,2,21.31,contactless,2,3d7de656-cdd6-4a,86.121.92.6,"45.7640,4.8357",0
c8c55f59-abe,autónomo,45,IT,Oeste,1675,1184.33,1.3,3.24,1,ec12cfbe-c1d,activa,199.99,309.24,2723.72,8221.87,4,1,4b616c1a-704,activa,2025-02-20,467,500,0,sdv-id-tgNuwt,2026-02-10 12:57:49,0,1,298201,1,151.75,3DS,2,61e434a8-7b30-41,86.25.39.246,"45.4642,9.1900",0
c4e7b806-13f,persona,33,DE,Hamburgo,3520,67.68,73.13,1.1,2,6791d5c8-33a,activa,3334.31,3429.02,7636.33,41659.52,2,3,7b880643-2ad,caducada,2025-11-02,196,500,0,sdv-id-qrJnaV,2026-03-10 04:31:21,1,1,5140101,9,1263.06,PIN,2,d1225a1c-35f1-44,87.252.1.162,"43.2965,5.3698",0
43f964ba-f71,persona,74,IT,Norte,1953,116.86,57.68,1.27,0,20e3d2f5-671,activa,16560.83,17518.32,264.21,1567.74,0,3,6b6812f7-b6b,activa,2023-02-28,1187,1000,0,sdv-id-rzYJKk,2026-02-01 22:18:09,0,0,473363,2,47.3,PIN,2,9840bada-bbf3-4c,90.60.242.112,"43.2965,5.3698",0
4116d031-5ff,persona,70,ES,Este,2349,10.66,1305.42,0.63,0,8cbcabdd-463,activa,10487.21,12235.96,42.18,11132.7,3,1,0f0f10cd-601,activa,2024-11-18,571,1000,0,sdv-id-dUqeYq,2026-05-09 19:40:47,0,0,4503284,1,83.38,PIN,2,431ceeda-a39f-4e,86.221.82.185,"53.5511,9.9937",0
7b10a006-a95,persona,74,ES,Sur,2753,1137.97,94.54,0.72,1,c008e5d3-8ea,activa,4589.77,5373.97,59.05,1438.63,2,2,4c7df5f2-799,activa,2022-06-23,1408,3000,0,sdv-id-IcXyLi,2026-03-31 00:49:37,0,0,11,0,564.08,firma,2,34bee5ee-d696-49,86.124.137.51,"41.3874,2.1686",1
0aa8a116-dbc,persona,43,DE,Norte,1777,1331.19,1370.95,2.98,1,7a3bedd8-72e,activa,26801.76,26017.77,796.01,8316.39,3,2,e55a5591-603,bloqueada,2023-05-18,1143,2000,0,sdv-id-mfupLJ,2026-02-14 14:46:40,1,1,45084,2,446.87,PIN,2,fab5b39d-3733-4d,86.168.155.93,"48.8566,2.3522",1
58a137dd-252,persona,36,ES,Île-de-France,2664,78.78,510.51,2.0,0,7148fb7c-16c,activa,12500.17,12485.79,127.88,16399.83,5,2,a2914610-6ef,activa,2023-05-20,1136,3000,1,sdv-id-AHntsD,2026-02-28 04:44:00,1,0,766682,0,464.77,PIN,2,8db039d0-3989-4f,86.70.228.237,"48.8566,2.3522",0
3388d95c-6c0,empresa,68,ES,Oeste,300,480.98,194.87,3.64,1,32367a69-52a,activa,169.74,194.68,8734.37,132.57,3,0,88b338f1-143,activa,2025-03-26,428,2000,1,sdv-id-teardo,2026-03-28 17:57:45,0,0,4720420,2,70.63,3DS,2,0ee6a085-a775-43,85.85.57.194,"43.2965,5.3698",0
40d868e9-6f8,persona,66,ES,Bretaña,3423,178.66,318.49,10.47,0,9d23df36-791,activa,4359.84,4379.7,31313.47,16745.57,1,2,c127b9dd-e5c,activa,2026-01-20,105,2000,1,sdv-id-ynzGhj,2026-03-24 06:40:58,0,0,55452,0,31.02,PIN,2,7f19e33f-a414-48,87.250.47.134,"41.1579,-8.6291",0
025fd7dd-acc,empresa,67,FR,Sur,1577,275.4,549.97,4.02,0,895c3f94-4f0,activa,727.76,702.64,5262.36,9048.24,0,0,8a854622-2d1,robada,2025-01-27,478,500,0,sdv-id-tkpBsy,2026-01-30 21:33:15,1,0,18070,5,57.51,PIN,1,77728041-0fcd-49,86.12.9.183,"53.5511,9.9937",0
3a8bd954-11b,empresa,20,FR,Sur,3055,223.44,258.76,5.8,0,aa2a0db5-266,activa,1045.29,1675.13,5831.13,3785.24,0,3,69fe64a5-6b3,activa,2025-03-30,428,1000,0,sdv-id-RbiRiy,2025-12-21 14:53:41,0,0,4645768,1,76.9,firma,2,da6b225e-3ae5-4c,86.49.144.83,"37.3891,-5.9845",0
cd88f512-b28,autónomo,30,FR,Lazio,811,223.64,1162.07,12.96,0,07246d0c-e7f,activa,7540.39,9610.3,223.55,3966.28,0,4,37f96ad6-1cb,activa,2024-07-11,680,3000,0,sdv-id-cESGRD,2026-01-20 23:30:21,0,0,28077,0,172.96,3DS,1,ebdb2df4-f695-4d,95.216.138.177,"41.3874,2.1686",0
8f019a8d-968,empresa,57,ES,Centro,1399,1342.37,1662.95,3.92,0,1b37f72a-63a,activa,1481.89,1960.26,2991.08,36225.03,5,1,5943d6ae-c06,caducada,2024-07-22,707,500,0,sdv-id-TlEtQG,2026-02-19 18:24:34,0,0,519857,2,395.75,3DS,2,fe400540-2c36-4d,86.212.73.137,"43.2965,5.3698",0
1e0a640c-7e6,premium,43,IT,Este,1371,1972.3,351.88,1.26,0,cea40c87-8fe,activa,149.0,111.22,3410.23,24219.21,2,1,6c009f41-0f0,activa,2022-06-22,1443,500,1,sdv-id-LGHFlp,2026-04-06 10:12:10,1,0,9285791,0,26.83,PIN,1,c83f3ed3-c093-45,86.42.114.5,"41.3874,2.1686",0
749997c5-a20,persona,56,ES,Sur,198,1234.6,57.83,1.77,0,6216aae8-227,activa,9390.03,11429.3,24.01,8837.34,4,3,e95a6f4f-526,activa,2023-11-30,906,500,0,sdv-id-lGkJdj,2026-01-20 22:04:08,1,1,2300500,0,12.28,3DS,2,9532acc9-6108-48,90.245.251.130,"37.3891,-5.9845",0
3158cc30-3e7,persona,48,ES,Sur,2527,18.38,662.01,2.84,0,0803e82a-1c3,activa,95.0,113.8,3997.07,13266.82,3,3,3ee2836b-a53,activa,2023-12-26,878,1000,0,sdv-id-TqLYSA,2026-04-13 02:37:20,0,1,4286030,1,32.08,3DS,1,65961a65-9d85-46,86.27.74.151,"37.3891,-5.9845",0
93029a07-040,persona,83,DE,Hamburgo,1285,27.3,157.24,1.21,0,ed71fad9-a6f,activa,4996.55,6297.04,497.43,18433.89,6,3,6f23bf1e-005,activa,2023-01-14,1204,2000,0,sdv-id-zgcTBB,2026-03-25 15:11:55,0,1,4108762,1,1868.59,PIN,3,2299b283-d1f5-45,90.196.77.30,"52.5200,13.4050",0
05d8e97f-169,persona,77,ES,Sur,2160,357.6,1765.85,4.51,0,fec9c0cd-5bf,activa,11017.5,11924.1,4128.45,3495.28,5,2,0d81b8e2-188,activa,2025-08-25,265,2000,0,sdv-id-TvRLzN,2025-12-24 08:31:23,0,0,3149,0,50.44,PIN,2,b4f68615-1633-43,86.29.227.70,"53.5511,9.9937",0
81bc5e1e-0aa,empresa,83,ES,Este,1752,198.69,319.68,0.64,3,c65074df-7b3,cerrada,2389.14,2693.51,88.27,12213.46,5,1,140b6134-fe4,activa,2021-06-04,1816,1000,0,sdv-id-OPQKJS,2025-12-23 21:39:23,0,0,659554,0,600.0,PIN,2,0ac464f1-1d8d-45,86.255.52.42,"40.8518,14.2681",0
67d14a74-620,persona,23,ES,Bretaña,2752,177.19,140.32,1.5,0,61a209a6-9fd,activa,11349.48,9043.07,51226.01,18436.83,1,1,d886be47-d6a,activa,2024-12-20,522,500,0,sdv-id-xuQVHg,2026-05-02 08:39:48,1,0,1934064,3,792.41,PIN,2,5be2e8a4-0c98-49,86.43.23.199,"53.5511,9.9937",0
a11d6433-c9f,persona,33,ES,Este,3111,2714.52,322.28,9.36,0,440dbb87-a93,activa,691.07,640.01,1089.16,9227.44,1,3,d4b4ec88-70c,activa,2026-01-30,115,1000,0,sdv-id-zuETVI,2026-04-20 21:56:47,0,1,1138767,0,36.6,3DS,2,75fabd58-c17d-43,90.225.207.98,"48.1351,11.5820",0
d8ff9563-b17,persona,35,DE,Hesse,1956,2614.18,575.06,0.66,0,fc70693b-dce,activa,1636.2,1760.23,4797.07,4484.7,5,3,713fe245-154,caducada,2021-09-21,1699,1000,0,sdv-id-ugwUjr,2026-03-14 08:00:35,1,0,1131212,0,181.93,PIN,2,f9e3f1db-73d3-41,86.35.29.84,"40.4168,-3.7038",0
3455445e-6ce,autónomo,21,ES,Sur,437,1504.67,853.0,9.21,1,79877ad8-1b9,activa,1721.81,1084.36,529.66,5002.56,2,0,97044e10-3a1,activa,2021-08-07,1755,2000,0,sdv-id-BvSxGJ,2026-05-03 00:52:38,0,0,104876,0,843.19,3DS,2,364cdc65-6692-44,86.70.141.188,"40.4168,-3.7038",0
febcdea1-0ba,autónomo,64,IT,Sur,3129,114.18,986.82,1.04,0,da197d95-d7f,activa,1058.37,1224.62,25.86,6437.91,6,1,cec46f1b-5aa,activa,2022-05-30,1451,2000,0,sdv-id-oOimkd,2026-05-10 03:53:36,0,0,6733569,1,307.67,3DS,2,0eb4d2ac-abc2-46,86.139.121.222,"40.8518,14.2681",0
408f2008-091,persona,44,FR,Hesse,2197,486.68,34.44,4.6,0,0626f4a7-e10,activa,279.54,176.39,2229.3,6907.38,1,3,d44085dc-296,activa,2022-02-03,1587,500,0,sdv-id-zdOBsk,2026-04-04 12:58:32,0,0,2658333,4,444.16,3DS,2,aff44ef0-6926-40,86.249.69.244,"40.4168,-3.7038",0
67b56b74-48f,persona,72,ES,Sur,1498,259.27,382.67,2.51,1,023706ed-80f,activa,654.97,757.23,9044.18,8862.14,1,2,c3c3d342-511,activa,2024-01-12,850,3000,0,sdv-id-onKlCx,2026-04-13 06:43:31,1,1,3529297,6,643.03,PIN,1,6a322746-97a8-46,95.60.130.220,"41.3874,2.1686",0
6c79e027-08e,persona,52,DE,Provence,1492,1730.6,173.9,2.61,0,a420d170-5f3,cerrada,370.0,310.99,1454.61,2224.4,4,3,4b21e5d7-611,activa,2022-02-13,1568,3000,2,sdv-id-GMLcxe,2025-12-02 02:16:31,1,1,675858,1,623.32,3DS,1,d257eae5-4082-40,90.220.192.99,"45.4642,9.1900",0
